asn,filtering,confidence,source,category
7922,unknown,1.0,ROVISTA,
13904,unknown,0.9986,APNIC,
40098,unknown,0.9986,APNIC,
40098,unknown,1.0,Friends,7
33588,unknown,0.9984999999999999,APNIC,
33588,unknown,0.9677419,ROVISTA,
6315,unknown,0.9981,APNIC,
6315,unknown,1.0,ROVISTA,
21704,unknown,0.9981,APNIC,
21704,unknown,1.0,ROVISTA,
13693,unknown,0.9981,APNIC,
13693,unknown,1.0,ROVISTA,
6167,unknown,0.998,APNIC,
6167,unknown,0.9677419,ROVISTA,
209,unknown,0.9979,APNIC,
209,unknown,1.0,ROVISTA,
20228,unknown,0.9976999999999999,APNIC,
26271,unknown,0.9975,APNIC,
26271,unknown,0.9677419,ROVISTA,
397412,unknown,0.9975,APNIC,
